GAME_DATE_EST,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2019-01-09,21800611,1610612763,1610612759,2018,1610612763,96,0.411,0.7,0.242,22,52,1610612759,86,0.361,0.652,0.407,14,53,1
2019-01-09,21800612,1610612740,1610612739,2018,1610612740,140,0.548,0.923,0.414,33,44,1610612739,124,0.477,0.867,0.467,27,31,1
2019-01-09,21800613,1610612742,1610612756,2018,1610612742,104,0.429,0.711,0.353,21,42,1610612756,94,0.429,0.714,0.28,22,37,1
2019-01-09,21800614,1610612762,1610612753,2018,1610612762,106,0.488,0.857,0.364,24,44,1610612753,93,0.398,0.7,0.394,17,41,1
2019-01-09,21800615,1610612757,1610612741,2018,1610612757,124,0.566,0.905,0.423,28,43,1610612741,112,0.462,0.895,0.409,22,37,1
2019-01-09,21800616,1610612747,1610612765,2018,1610612747,113,0.561,0.722,0.348,30,47,1610612765,100,0.453,0.571,0.318,23,33,1
2019-01-08,21800599,1610612739,1610612754,2018,1610612739,115,0.539,0.87,0.448,24,35,1610612754,123,0.538,0.789,0.385,34,32,0
2019-01-08,21800600,1610612755,1610612764,2018,1610612755,132,0.557,0.68,0.515,39,49,1610612764,115,0.5,0.81,0.438,26,34,1
2019-01-08,21800601,1610612748,1610612743,2018,1610612748,99,0.458,0.6,0.258,24,38,1610612743,103,0.471,0.706,0.333,32,50,0
2019-01-08,21800602,1610612761,1610612737,2018,1610612761,104,0.463,0.741,0.313,26,39,1610612737,101,0.46,0.688,0.37,22,50,1
2019-01-08,21800603,1610612760,1610612750,2018,1610612760,117,0.506,0.731,0.4,22,43,1610612750,119,0.422,0.8,0.355,25,42,0
2019-01-08,21800604,1610612756,1610612758,2018,1610612756,115,0.511,0.789,0.4,31,37,1610612758,111,0.475,0.69,0.517,26,43,1
2019-01-08,21800605,1610612744,1610612752,2018,1610612744,122,0.51,0.833,0.311,36,49,1610612752,95,0.398,0.905,0.25,13,39,1
2019-01-08,21800606,1610612746,1610612766,2018,1610612746,128,0.516,0.857,0.467,28,45,1610612766,109,0.4,0.862,0.364,20,43,1
2019-01-07,21800591,1610612765,1610612759,2018,1610612765,107,0.494,0.824,0.281,22,37,1610612759,119,0.544,0.813,0.35,24,38,0
